cow,dinc_cl,dim,dinc_dim_cl,dinc_7d,dinc_dim_7d,vinc_cl,visits_cl,vinc_nv_cl,vinc_7d,visits_7d,vinc_nv_7d
1344,13,311,4.180064308681672,,,14,796,1.7587939698492463,,,
1346,22,294,7.482993197278912,,,22,723,3.0428769017980635,,,
1348,33,307,10.749185667752444,,,36,746,4.825737265415549,,,
1351,1,222,0.4504504504504504,,,1,503,0.198807157057654,,,
1352,0,4,0.0,0.0,0.0,0,9,0.0,0.0,7.0,0.0
1354,13,268,4.850746268656716,0.0,0.0,14,733,1.9099590723055933,0.0,13.0,0.0
1356,19,187,10.16042780748663,,,21,451,4.656319290465632,,,
1359,11,288,3.8194444444444446,0.0,0.0,11,821,1.3398294762484777,0.0,21.0,0.0
1360,22,280,7.857142857142857,0.0,0.0,24,727,3.3012379642365883,0.0,20.0,0.0
1361,12,246,4.878048780487805,0.0,0.0,13,508,2.559055118110236,0.0,12.0,0.0
1362,13,317,4.100946372239748,1.0,14.285714285714285,14,880,1.5909090909090908,1.0,21.0,4.761904761904762
1363,25,298,8.389261744966444,0.0,0.0,26,892,2.914798206278027,0.0,2.0,0.0
1364,10,283,3.53356890459364,0.0,0.0,10,643,1.5552099533437014,0.0,10.0,0.0
1365,10,290,3.4482758620689653,0.0,0.0,12,684,1.7543859649122806,0.0,19.0,0.0
1366,13,249,5.220883534136546,,,13,584,2.2260273972602738,,,
1367,24,315,7.6190476190476195,0.0,0.0,26,780,3.333333333333333,0.0,3.0,0.0
1368,5,282,1.773049645390071,0.0,0.0,5,641,0.7800312012480499,0.0,2.0,0.0
1370,11,259,4.247104247104247,0.0,0.0,11,716,1.536312849162011,0.0,19.0,0.0
1371,6,265,2.2641509433962264,0.0,0.0,6,650,0.9230769230769232,0.0,10.0,0.0
1372,28,295,9.491525423728811,0.0,0.0,32,784,4.081632653061225,0.0,16.0,0.0
1373,41,223,18.385650224215247,,,45,514,8.754863813229571,,,
1374,9,256,3.515625,0.0,0.0,9,566,1.5901060070671376,0.0,3.0,0.0
1375,13,271,4.797047970479705,,,13,651,1.996927803379416,,,
