cow,lp_group,variable,median,min,max,mean,count
1089,p,rf_vol,1.105613853636775,0.4459999342270422,2.36970617257553,1.1186977671549627,417
1089,p,rf_vol2,1.0974634606711782,0.4348696498717937,2.2871658310644025,1.1080350312643097,417
1089,p,udder_circ,0.6197077703524545,0.5687466506731691,0.6859912510898308,0.6201227870145397,417
1089,p,udder_ecc,0.6197077703524545,0.5687466506731691,0.6859912510898308,0.6201227870145397,417
1089,p,volume,4.625139121398774,2.286955346666187,6.98785879691635,4.597517525803974,417
1089,p,volume2,4.564945124284255,2.271600447410327,6.731611810536933,4.5346114766632715,417
1098,p,area,0.2136466551821609,0.1587058421736927,0.2431574945049412,0.21097217405790844,493
1098,p,back_eu,0.060393948916376,0.0227527835759361,0.1884796540509872,0.06158249087710796,492
1098,p,back_geo,0.1421847029827853,0.0324292269605351,0.2694231980178053,0.14079463049129207,492
1098,p,front_eu,0.2362226660599683,0.1847759398149607,0.2861455783066655,0.2337769368346226,493
1098,p,front_geo,0.3187064619909873,0.2976631684396802,0.3318106557905921,0.31801229573427814,493
1098,p,lb_area,0.0340504884889848,0.0139643806235471,0.0482167557670721,0.033642885093531576,493
1098,p,lb_circ,2.567593458944136e-05,1.8468847673015328e-05,3.822804067672408e-05,2.58692899759093e-05,493
1098,p,lb_ecc,0.584576456140091,0.2179102428643425,0.695191124742885,0.5724270997535575,493
1098,p,lb_vol,0.5376855013563755,0.0655577512319288,1.1843004071363328,0.5182373781003168,493
1098,p,lb_vol2,0.5189716357092856,0.065289319255554,1.1276621943750431,0.5008919815988092,493
1098,p,lf_area,0.0706057622162607,0.0437423773563762,0.0867607741041775,0.06969754614761235,493
1098,p,lf_circ,8.914799428939016e-06,7.350835482405944e-06,1.0928316642209476e-05,8.938335427721121e-06,493
1098,p,lf_ecc,0.5971899068482116,0.4021430342801138,0.6913571929711073,0.5968923406448409,493
1098,p,lf_vol,1.4016740848367797,0.4234631436023661,2.0294218201502607,1.3476234782373697,493
1098,p,lf_vol2,1.372747752112957,0.4252287934215057,1.898043331700852,1.3152628687713543,493
1098,p,rb_area,0.037742895186740746,0.0134687964075393,0.0640961486357679,0.037265255779987315,492
1098,p,rb_circ,3.598905751833345e-05,2.2871156118012024e-05,4.213681274583148e-05,3.593405355156226e-05,492
1098,p,rb_ecc,0.6316437393061398,0.3099865261813938,0.7896867455018364,0.6326195031708277,492
1098,p,rb_vol,0.38492911586120027,0.0303220826475594,0.9667109534012966,0.37935701833233276,492
1098,p,rb_vol2,0.380627184718639,0.0297272037179808,0.9025689699058884,0.3730720685588446,492
1098,p,rf_area,0.0611943577314327,0.0440987048295633,0.071451368586445,0.060470191356702695,493
1098,p,rf_circ,1.0356075911352364e-05,7.551329841901454e-06,1.3041722144725992e-05,1.0418232627860306e-05,493
1098,p,rf_ecc,0.6829993485768844,0.6019176481672932,0.714852101725114,0.6819316913834229,493
