animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
1396,1,20,2,9,31,62,38,223,597,17.040358744394617
1397,1,27,2,1,5,35,28,249,688,11.244979919678714
1398,1,6,2,8,10,26,18,257,667,7.003891050583658
1399,1,7,6,0,2,15,11,254,701,4.330708661417323
1400,1,1,1,0,4,6,6,231,585,2.5974025974025974
1401,1,39,7,0,5,51,38,251,634,15.139442231075698
1404,1,2,0,1,13,16,13,256,953,5.078125
1405,1,3,0,9,2,14,11,166,570,6.626506024096386
1406,1,3,22,6,11,42,35,212,559,16.50943396226415
1407,1,172,142,9,83,406,117,215,572,54.418604651162795
1409,1,4,1,0,6,11,11,180,570,6.111111111111111
1410,1,3,5,4,1,13,7,252,635,2.7777777777777777
1412,1,1,17,7,12,37,31,200,541,15.5
1414,1,5,5,1,8,19,17,267,715,6.367041198501873
1417,1,11,4,1,1,17,14,222,619,6.306306306306306
1418,1,19,32,11,31,93,43,121,266,35.53719008264463
1419,1,4,0,2,6,12,7,235,540,2.9787234042553195
1422,1,0,0,1,0,1,1,251,668,0.398406374501992
1423,1,13,16,7,18,54,35,195,531,17.94871794871795
1424,1,7,1,3,14,25,20,179,538,11.1731843575419
1425,1,10,5,3,6,24,19,147,407,12.925170068027212
1427,1,9,4,1,14,28,17,56,134,30.357142857142854
1429,1,0,0,0,6,6,4,203,583,1.9704433497536946
1430,1,3,0,0,7,10,8,184,486,4.3478260869565215
1432,1,2,0,0,3,5,5,92,246,5.434782608695652
1433,1,1,0,3,4,8,8,195,601,4.102564102564102
1434,1,4,0,1,2,7,4,196,462,2.0408163265306123
1435,1,1,0,0,6,7,6,130,341,4.615384615384616
1436,1,2,0,0,1,3,3,206,573,1.4563106796116505
1437,1,2,1,1,1,5,4,159,359,2.515723270440252
1440,1,4,0,0,2,6,5,149,469,3.3557046979865772
1442,1,2,2,0,4,8,6,165,412,3.6363636363636362
1443,1,2,0,0,0,2,2,113,272,1.7699115044247788
1447,1,25,10,10,30,75,35,162,447,21.604938271604937
1449,1,2,1,0,2,5,4,131,353,3.0534351145038165
1451,1,1,30,65,3,99,69,146,467,47.26027397260274
1453,1,13,0,3,21,37,26,93,259,27.956989247311824
1454,1,1,1,1,4,7,7,109,270,6.422018348623854
1455,1,0,2,0,4,6,6,137,344,4.37956204379562
1456,1,1,0,1,2,4,4,131,413,3.0534351145038165
1457,1,5,0,0,7,12,9,38,108,23.684210526315788
1458,1,11,2,4,12,29,16,52,129,30.76923076923077
1460,1,4,2,1,2,9,8,107,286,7.476635514018691
1461,1,3,1,1,2,7,4,74,224,5.405405405405405
1462,1,2,0,0,0,2,2,17,40,11.76470588235294
1463,1,1,2,0,0,3,3,72,149,4.166666666666666
1465,1,0,0,10,2,12,10,107,262,9.345794392523365
1468,1,7,0,0,4,11,9,77,185,11.688311688311687
1470,1,0,1,3,4,8,5,39,116,12.82051282051282
1471,1,2,3,1,3,9,6,44,116,13.636363636363635
1472,1,24,7,6,22,59,27,60,151,45.0
1473,1,0,0,0,0,0,0,21,46,0.0
1474,1,0,1,0,0,1,1,73,189,1.36986301369863
1475,1,1,0,0,0,1,1,39,82,2.564102564102564
1476,1,3,5,3,7,18,10,33,88,30.303030303030305
1477,1,0,1,0,2,3,3,72,190,4.166666666666666
1478,1,0,1,1,5,7,6,72,226,8.333333333333332
1479,1,0,0,0,0,0,0,4,9,0.0
1480,1,0,0,1,0,1,1,27,57,3.7037037037037033
1483,1,0,2,0,1,3,2,23,57,8.695652173913043
1484,1,0,0,0,0,0,0,1,4,0.0
1485,1,2,1,0,1,4,3,22,64,13.636363636363635
1486,1,4,1,3,3,11,7,64,171,10.9375
1487,1,0,1,0,2,3,3,25,64,12.0
1489,1,0,0,0,0,0,0,8,18,0.0
1495,1,1,0,1,2,4,2,21,46,9.523809523809524
1501,1,24,17,13,22,76,17,21,43,80.95238095238095
1503,1,0,0,1,0,1,1,7,15,14.285714285714285
1504,1,0,0,0,0,0,0,12,24,0.0
1507,1,2,0,0,0,2,2,7,15,28.57142857142857
1511,1,1,1,2,1,5,2,3,7,66.66666666666666
