Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
1255;;VMS 1&2 group;43.44;2.6;0.00;;0.00;0.00;0.00;0.00;100
1252;;VMS 1&2 group;40.21;2.1;0.00;;0.00;0.00;0.00;0.00;100
1246;;VMS 1&2 group;45.22;3.3;0.00;;0.00;0.00;0.00;0.00;100
1244;;VMS 1&2 group;46.91;2.7;0.00;;0.00;0.00;0.00;0.00;100
1243;;VMS 1&2 group;38.31;2.4;0.00;;0.00;0.00;0.00;0.00;100
1240;;VMS 1&2 group;57.84;3.9;0.00;;0.00;0.00;0.00;0.00;100
1237;;VMS 3 & 4 Group;36.26;2.3;0.00;;0.00;0.00;0.00;0.00;100
1236;;VMS 1&2 group;44.79;2.7;0.00;;0.00;0.00;0.00;0.00;100
1235;;VMS 1&2 group;51.28;2.7;0.00;;0.00;0.00;0.00;0.00;100
1232;;VMS 1&2 group;34.93;1.9;0.00;;0.00;0.00;0.00;0.00;100
1231;;VMS 1&2 group;60.96;3.4;0.00;;0.00;0.00;0.00;0.00;100
1223;;VMS 3 & 4 Group;40.90;3.7;0.00;;0.00;0.00;0.00;0.00;100
1212;;VMS 1&2 group;35.37;2.0;0.00;;0.00;0.00;0.00;0.00;100
1207;;VMS 1&2 group;34.38;2.4;0.00;;0.00;0.00;0.00;0.00;100
1200;;VMS 1&2 group;34.33;2.4;0.00;;0.00;0.00;0.00;0.00;100
1197;;VMS 3 & 4 Group;53.98;2.7;0.00;;0.00;0.00;0.00;0.00;100
1184;;VMS 3 & 4 Group;22.61;1.8;0.00;;0.00;0.00;0.00;0.00;100
1173;;VMS 3 & 4 Group;33.53;2.7;0.00;;0.00;0.00;0.00;0.00;100
1172;;VMS 1&2 group;46.61;2.6;0.00;;0.00;0.00;0.00;0.00;100
1170;;VMS 1&2 group;27.90;2.0;0.00;;0.00;0.00;0.00;0.00;100
1168;;VMS 1&2 group;61.64;3.1;0.00;;0.00;0.00;0.00;0.00;100
1164;;VMS 1&2 group;59.18;2.9;0.00;;0.00;0.00;0.00;0.00;100
1159;;VMS 1&2 group;28.42;2.4;0.00;;0.00;0.00;0.00;0.00;100
1153;;VMS 1&2 group;58.59;3.4;0.00;;0.00;0.00;0.00;0.00;100
1151;;VMS 1&2 group;58.19;3.6;0.00;;0.00;0.00;0.00;0.00;100
1148;;VMS 1&2 group;54.65;3.6;0.00;;0.00;0.00;0.00;0.00;100
1145;;VMS 1&2 group;59.53;3.0;0.00;;0.00;0.00;0.00;0.00;100
1144;;VMS 1&2 group;56.03;3.3;0.00;;0.00;0.00;0.00;0.00;100
1142;;VMS 1&2 group;49.69;3.0;0.00;;0.00;0.00;0.00;0.00;100
1140;;VMS 1&2 group;41.42;3.0;0.00;;0.00;0.00;0.00;0.00;100
1139;;VMS 1&2 group;56.91;3.0;0.00;;0.00;0.00;0.00;0.00;100
1133;;VMS 3 & 4 Group;45.44;3.1;0.00;;0.00;0.00;0.00;0.00;100
1127;;VMS 1&2 group;64.57;2.6;0.00;;0.00;0.00;0.00;0.00;100
1126;;VMS 1&2 group;33.76;1.4;0.00;;0.00;0.00;0.00;0.00;100
1116;;VMS 3 & 4 Group;46.93;2.4;0.00;;0.00;0.00;0.00;0.00;100
1102;;VMS 1&2 group;45.01;2.6;0.00;;0.00;0.00;0.00;0.00;100
1101;;VMS 1&2 group;45.62;3.3;0.00;;0.00;0.00;0.00;0.00;100
1100;;VMS 1&2 group;44.75;2.3;0.00;;0.00;0.00;0.00;0.00;100
1098;;VMS 1&2 group;56.16;2.9;0.00;;0.00;0.00;0.00;0.00;100
1092;;VMS 1&2 group;42.38;2.4;0.00;;0.00;0.00;0.00;0.00;100
1091;;VMS 1&2 group;46.17;2.3;0.00;;0.00;0.00;0.00;0.00;100
1089;;VMS 1&2 group;52.18;2.9;0.00;;0.00;0.00;0.00;0.00;100
1084;;VMS 1&2 group;50.59;2.6;0.00;;0.00;0.00;0.00;0.00;100
1081;;VMS 1&2 group;50.40;2.6;0.00;;0.00;0.00;0.00;0.00;100
1074;;VMS 1&2 group;52.25;3.3;0.00;;0.00;0.00;0.00;0.00;100
1067;;VMS 3 & 4 Group;35.83;3.1;0.00;;0.00;0.00;0.00;0.00;100
1061;;VMS 1&2 group;39.25;2.1;0.00;;0.00;0.00;0.00;0.00;100
1040;;VMS 1&2 group;61.98;2.6;0.00;;0.00;0.00;0.00;0.00;100
1039;;VMS 1&2 group;45.05;2.7;0.00;;0.00;0.00;0.00;0.00;100
1023;;VMS 1&2 group;62.75;3.1;0.00;;0.00;0.00;0.00;0.00;100
1003;;VMS 1&2 group;55.62;3.6;0.00;;0.00;0.00;0.00;0.00;100
978;;VMS 1&2 group;44.41;3.0;0.00;;0.00;0.00;0.00;0.00;100
975;;VMS 1&2 group;55.36;3.0;0.00;;0.00;0.00;0.00;0.00;100
973;;VMS 3 & 4 Group;35.14;1.9;0.00;;0.00;0.00;0.00;0.00;100
971;;VMS 3 & 4 Group;48.88;3.3;0.00;;0.00;0.00;0.00;0.00;100
970;;VMS 3 & 4 Group;47.18;2.7;0.00;;0.00;0.00;0.00;0.00;100
