filename,cow,img_class,pbad,pgood
856_20231117_152520_frame_42,856,1,0.3044927716255188,0.6955072283744812
1281_20231117_111109_frame_782,1281,0,0.029836216941475868,0.9701637029647827
729_20231117_112927_frame_28,729,0,0.5902572274208069,0.4097428321838379
929_20231117_151607_frame_17,929,0,0.46238046884536743,0.5376194715499878
1359_20231117_124049_frame_562,1359,1,0.28828784823417664,0.711712121963501
785_20231117_125124_frame_595,785,0,0.9999958276748657,4.181026270089205e-06
1295_20231117_130928_frame_167,1295,1,0.999419093132019,0.0005809637368656695
1325_20231117_113835_frame_546,1325,0,0.9999690055847168,3.097499211435206e-05
764_20231117_144922_frame_843,764,1,0.03604646399617195,0.9639535546302795
948_20231117_135427_frame_149,948,1,0.9999980926513672,1.9061930061070598e-06
856_20231117_152520_frame_348,856,1,0.9957233667373657,0.0042766304686665535
1281_20231117_111109_frame_554,1281,0,0.5866274237632751,0.41337254643440247
729_20231117_112927_frame_145,729,1,0.9441018104553223,0.05589817464351654
929_20231117_151607_frame_318,929,0,0.7342405319213867,0.2657594680786133
1359_20231117_124049_frame_384,1359,0,0.9999308586120605,6.90866363584064e-05
785_20231117_125124_frame_255,785,0,0.9971471428871155,0.0028528582770377398
1295_20231117_130928_frame_720,1295,1,0.006103951949626207,0.9938960671424866
1325_20231117_113835_frame_240,1325,0,0.016192948445677757,0.9838070869445801
764_20231117_144922_frame_809,764,1,0.720053493976593,0.279946506023407
948_20231117_135427_frame_123,948,0,0.9999700784683228,2.9973789423820563e-05
856_20231117_152520_frame_379,856,1,0.8909534215927124,0.10904662311077118
1281_20231117_111109_frame_586,1281,0,0.002271657343953848,0.9977284073829651
729_20231117_112927_frame_275,729,1,0.009611780755221844,0.9903882145881653
929_20231117_151607_frame_439,929,0,0.9997177720069885,0.0002821965317707509
1359_20231117_124049_frame_542,1359,0,0.9999998807907104,6.377809569357851e-08
785_20231117_125124_frame_782,785,0,0.9997913241386414,0.00020870708976872265
1295_20231117_130928_frame_334,1295,1,0.1708114594221115,0.8291885852813721
1236_20231117_142505_frame_446,1236,1,0.9531347751617432,0.04686514660716057
764_20231117_144922_frame_689,764,1,0.8368919491767883,0.16310809552669525
948_20231117_135427_frame_86,948,0,1.0,1.5941606368308214e-10
856_20231117_152520_frame_51,856,0,0.8984391093254089,0.10156089812517166
1281_20231117_111109_frame_702,1281,1,0.506705641746521,0.4932943284511566
