                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.61659,                0.29838,                0.18002,                0.46546,                   1.18,                0.98135,                0.98146,                0.98188,                0.93262,                 0.9893,                 0.9894,                0.98441,                0.89965,                 0.3548,                0.43406,                0.02785,                0.25514,                0.90873,              0.0005744,              0.0005744,              0.0005744
                     75,                0.61595,                0.29028,                0.17823,                0.46678,                  1.186,                0.98137,                0.98146,                0.97688,                0.90638,                0.99991,                      1,                  0.995,                0.88359,                0.42066,                0.46961,                0.09816,                0.30381,                0.97941,              0.0005546,              0.0005546,              0.0005546
                     76,                0.61445,                0.27274,                0.17691,                0.45916,                 1.1886,                0.98015,                0.98146,                0.98454,                 0.9057,                0.99867,                      1,                  0.995,                0.92492,                0.42374,                0.37222,                0.04851,                0.27168,                0.96813,              0.0005348,              0.0005348,              0.0005348
                     77,                0.62012,                0.29302,                0.17984,                0.46692,                   1.19,                0.97857,                0.98146,                0.97914,                0.89744,                0.99309,                0.99603,                0.99286,                0.81779,                0.42359,                0.70504,                0.07777,                0.31836,                0.98431,               0.000515,               0.000515,               0.000515
                     78,                0.60851,                0.27441,                0.18404,                0.45569,                 1.1894,                0.98136,                0.98146,                 0.9789,                 0.9246,                0.98798,                0.98808,                 0.9796,                0.89134,                0.38061,                0.42816,                0.03645,                0.25446,                0.92237,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.6023,                0.26119,                0.17291,                0.44436,                 1.1739,                0.65869,                0.67738,                0.65783,                0.43475,                0.64085,                0.63974,                0.62396,                0.35717,                 1.3522,                 1.6891,                0.30442,                 1.3635,                 2.0843,              0.0004754,              0.0004754,              0.0004754
                     80,                0.61154,                0.26641,                 0.1732,                0.46337,                 1.1839,                0.98136,                0.98146,                0.98321,                 0.9286,                0.98798,                0.98808,                0.97694,                0.89182,                0.37511,                 0.3993,                0.02861,                0.25583,                0.92674,              0.0004556,              0.0004556,              0.0004556
                     81,                0.60014,                0.27271,                 0.1757,                0.45581,                 1.1724,                 0.9813,                0.98146,                0.97651,                0.92034,                0.99719,                0.99735,                0.99429,                0.85659,                0.35667,                0.46108,                0.01041,                0.27149,                0.91261,              0.0004358,              0.0004358,              0.0004358
                     82,                0.60083,                0.25374,                0.17263,                 0.4551,                 1.1798,                0.98135,                0.98146,                0.97693,                0.92045,                0.99195,                0.99205,                0.98761,                0.87573,                0.36159,                0.41484,                0.02944,                0.25664,                0.91703,               0.000416,               0.000416,               0.000416
                     83,                0.60428,                0.26778,                0.18122,                0.46006,                 1.1805,                 0.9813,                0.98146,                 0.9704,                0.88176,                0.97997,                0.98013,                0.96797,                0.81827,                0.48353,                0.55808,                0.06853,                0.32333,                 1.0109,              0.0003962,              0.0003962,              0.0003962
