animal_number,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,interval_sec_mean
785,304.6106194690266,13.96221238938053,3.133628318584071,3.5634513274336284,3.626371681415929,3.638761061946903,1.3858407079646018,1.291858407079646,1.553628318584071,1.3794690265486724,94.68141592920354,27255.610619469026
807,344.18148148148146,15.396851851851851,3.5866296296296296,4.871148148148149,2.948851851851852,3.9902222222222217,1.2977777777777777,1.9324444444444444,1.556,1.7882222222222222,100.92962962962963,25938.681481481482
808,272.56310679611653,14.296504854368932,3.0635922330097087,4.616407766990291,4.415825242718446,2.2006796116504854,1.1388349514563108,1.4557281553398058,1.774368932038835,1.887378640776699,100.83495145631068,23954.961165048542
833,378.96868475991647,15.253048016701461,0.45473684210526316,6.348789144050104,4.8318580375782885,4.054363256784969,1.255991649269311,0.8842105263157896,1.5979540709812108,1.7131941544885179,75.72860125260961,27546.359081419625
837,292.9436416184971,17.562427745664742,6.153945086705202,4.9080202312138725,6.500462427745664,,,2.2960404624277455,2.296387283236994,1.777456647398844,77.80780346820809,31247.88294797688
842,257.4970828471412,16.536756126021004,,6.039556592765461,6.861073512252042,3.6361260210035002,2.1368961493582264,,2.5781796966161026,2.962053675612602,77.15869311551926,30781.005834305717
855,322.8125,14.900970744680851,6.095718085106382,4.264760638297872,4.540492021276595,,,1.9263829787234044,2.57281914893617,2.619414893617021,78.91622340425532,31078.60106382979
856,292.5264227642276,16.443810975609754,3.9516869918699187,5.405447154471545,3.332794715447154,3.7538821138211382,1.8476829268292685,1.8531707317073172,1.7546747967479674,2.060060975609756,93.44918699186992,29491.181910569107
861,259.9585406301824,13.511741293532339,2.600464344941957,4.087180762852405,4.02927031509121,2.794825870646766,1.5282587064676616,1.6723383084577115,2.108457711442786,1.7567164179104477,103.72305140961858,22740.744610281923
868,245.75980392156862,16.356323529411764,3.9832843137254903,4.279509803921568,4.524264705882353,3.569264705882353,2.1414705882352942,2.1361764705882353,1.8988235294117648,1.833235294117647,106.00490196078431,24634.813725490196
896,405.4081081081081,17.025905405405407,3.984472972972973,4.560081081081081,4.550891891891892,3.9304594594594593,1.3611891891891892,1.3992972972972972,1.2720810810810812,1.224972972972973,94.86216216216216,32304.64864864865
897,387.18228105906314,18.15235234215886,3.076283095723014,6.04530549898167,5.476354378818737,3.554409368635438,1.9677189409368634,2.004378818737271,2.2071079429735234,1.6880040733197557,97.5224032586558,33609.30549898167
902,397.7455621301775,16.391183431952662,4.389644970414201,5.5332544378698225,6.46828402366864,,,1.3768047337278106,1.8749112426035504,1.8596449704142013,80.12426035502959,31957.36094674556
904,408.7823529411765,18.09738823529412,3.9570588235294117,5.831611764705882,4.634870588235294,3.6738470588235295,1.396305882352941,1.2837882352941177,1.4126117647058825,1.4368941176470587,98.39411764705882,29325.31294117647
905,267.1519230769231,13.74764423076923,2.0575384615384618,4.8160384615384615,4.515519230769231,2.3585480769230767,1.734346153846154,1.5297692307692308,1.9401923076923075,2.2795384615384613,93.19423076923077,26179.940384615384
