animal_number,min_date,max_date,count_date,min_dim,max_dim
1219,2023-01-15,2023-12-06,329,0.0,325.0
1223,2023-01-09,2023-11-17,319,0.0,312.0
1231,2023-05-16,2023-11-17,186,0.0,185.0
1232,2023-01-31,2023-12-06,312,1.0,310.0
1233,2023-03-17,2024-01-24,316,1.0,314.0
1235,2023-06-29,2024-05-28,337,0.0,334.0
1236,2023-04-28,2024-04-09,358,0.0,347.0
1237,2023-01-10,2024-01-03,362,0.0,358.0
1240,2023-03-31,2024-04-09,381,0.0,375.0
1241,2023-07-21,2024-08-20,400,0.0,396.0
1243,2023-03-16,2023-11-17,248,0.0,246.0
1244,2023-07-09,2024-07-27,387,0.0,384.0
1245,2023-02-23,2024-01-24,340,0.0,335.0
1246,2023-03-14,2023-11-17,256,0.0,249.0
1252,2023-05-01,2023-11-17,201,0.0,200.0
1255,2023-02-20,2024-01-24,345,1.0,339.0
1258,2023-05-15,2023-11-17,187,0.0,186.0
1259,2023-03-13,2023-11-17,251,0.0,249.0
1261,2023-06-29,2023-11-17,145,0.0,141.0
1262,2023-07-28,2023-11-17,114,0.0,112.0
1263,2023-05-17,2023-11-17,188,0.0,184.0
1264,2023-03-04,2024-01-24,330,0.0,326.0
1266,2023-04-09,2024-04-09,371,0.0,366.0
1267,2023-02-26,2023-11-17,269,0.0,264.0
1268,2023-11-02,2023-11-17,17,0.0,15.0
1270,2023-06-14,2023-11-17,159,0.0,156.0
1271,2023-06-22,2024-07-05,385,0.0,379.0
1272,2023-06-01,2024-03-21,300,0.0,294.0
1273,2023-04-25,2024-05-09,385,0.0,380.0
1274,2023-08-06,2024-07-27,360,1.0,357.0
1276,2023-07-23,2024-08-20,404,0.0,394.0
1277,2023-05-26,2023-11-17,178,0.0,175.0
1279,2023-09-20,2024-07-27,322,0.0,311.0
1281,2023-07-05,2024-08-20,420,0.0,412.0
1282,2023-09-06,2024-07-05,308,0.0,303.0
1283,2023-05-26,2024-03-21,301,0.0,300.0
